BOCC Report,Duplicate / Different Acc/ WSH / Near Miss / Need Not Report,Time of Accident,Date of Accident,Service No,Employee No,Date approved,"[Auto]
Overall Case status",LTA Ref No,"[Auto]
Lead Time Submitted Cases","[Auto] 
CCTV Lead Time - Received","[Auto]
CCTV Lead Time - Pending","[Auto]
Today's Date",Date approved.1
437309,Duplicate,13:42:00,2024-03-12 00:00:00,960,67511,Yes,No,,1.0,Not Applicable,41,2024-05-08 15:00:45.430,
437567,,12:10:00,2024-03-14 00:00:00,302,72749,Yes,No,,1.0,Not Applicable,40,2024-05-08 15:00:45.400,
438687,,13:13:00,2024-03-15 00:00:00,61,34538,Yes,No,,1.0,Not Applicable,39,2024-05-08 15:00:45.430,
438718,,18:19:00,2024-03-15 00:00:00,178,34121,Yes,No,,1.0,Not Applicable,38,2024-05-08 15:00:45.410,
438785,,13:21:00,2024-03-16 00:00:00,190,13209,Yes,No,,1.0,Not Applicable,38,2024-05-08 15:00:45.520,
438791,,13:30:00,2024-03-16 00:00:00,184,23077,Yes,No,,1.0,Not Applicable,38,2024-05-08 15:00:45.430,
438886,,13:56:00,2024-03-17 00:00:00,976,35014,Yes,No,,1.0,Not Applicable,38,2024-05-08 15:00:45.400,
438888,,13:27:00,2024-03-17 00:00:00,67,74115,Yes,No,,1.0,Not Applicable,38,2024-05-08 15:00:45.400,
438904,,16:45:00,2024-03-17 00:00:00,950,11550,Yes,No,,1.0,Not Applicable,38,2024-05-08 15:00:45.430,
438921,,21:06:00,2024-03-17 00:00:00,975B,35448,Yes,No,,1.0,Not Applicable,38,2024-05-08 15:00:45.490,
438983,,10:15:00,2024-03-18 00:00:00,985,33579,Yes,No,,1.0,Not Applicable,38,2024-05-08 15:00:45.400,
439113,,13:39:00,2024-03-19 00:00:00,976,34198,Yes,No,,1.0,Not Applicable,36,2024-05-08 15:00:45.410,
439140,CAT 1,17:42:00,2024-03-19 00:00:00,307,35191,Yes,No,,1.0,Not Applicable,36,2024-05-08 15:00:45.430,
439139,,18:02:00,2024-03-19 00:00:00,187,23477,Yes,No,,11.0,Not Applicable,36,2024-05-08 15:00:45.400,
439164,,20:10:00,2024-03-19 00:00:00,975B,35259,Yes,No,,1.0,Not Applicable,36,2024-05-08 15:00:45.410,
439167,,18:45:00,2024-03-19 00:00:00,OSB,74348,Yes,No,,1.0,Not Applicable,36,2024-05-08 15:00:45.470,
439259,Duplicate,17:55:00,2024-03-20 00:00:00,985,21579,Yes,No,,1.0,Not Applicable,34,2024-05-08 15:00:45.430,
439552,,17:08:00,2024-03-23 00:00:00,172,74277,Yes,No,,1.0,Not Applicable,33,2024-05-08 15:00:45.510,
440781,,18:40:00,2024-03-25 00:00:00,301,34441,Yes,No,,1.0,Not Applicable,32,2024-05-08 15:00:45.400,
440780,,09:01:00,2024-03-25 00:00:00,OSB972M,71633,Yes,No,,1.0,Not Applicable,32,2024-05-08 15:00:45.400,
440813,,07:57:00,2024-03-26 00:00:00,61,26814,Yes,No,,1.0,Not Applicable,32,2024-05-08 15:00:45.400,
440852,,18:14:00,2024-03-26 00:00:00,176,36682,Yes,No,,1.0,Not Applicable,31,2024-05-08 15:00:45.430,
441039,,10:41:00,2024-03-28 00:00:00,178,71533,Yes,No,,1.0,Not Applicable,30,2024-05-08 15:00:45.470,
441044,,12:09:00,2024-03-28 00:00:00,67,72519,Yes,No,,1.0,Not Applicable,30,2024-05-08 15:00:45.520,
441337,,12:30:00,2024-03-31 00:00:00,302,32642,Yes,No,,1.0,Not Applicable,28,2024-05-08 15:00:45.460,
441371,,15:39:00,2024-03-31 00:00:00,975,36735,Yes,No,,1.0,Not Applicable,28,2024-05-08 15:00:45.410,
441456,,14:17:00,2024-04-01 00:00:00,973,10418,Yes,No,,1.0,Not Applicable,28,2024-05-08 15:00:45.430,
441465,,17:00:00,2024-04-01 00:00:00,912A,26372,Yes,No,,1.0,Not Applicable,27,2024-05-08 15:00:45.400,
441516,,05:56:00,2024-04-02 00:00:00,302A,71769,Yes,No,,1.0,Not Applicable,27,2024-05-08 15:00:45.410,
441608,,21:07:00,2024-04-02 00:00:00,972,11830,Yes,No,,1.0,Not Applicable,26,2024-05-08 15:00:45.430,
441717,CAT 1,18:29:00,2024-04-03 00:00:00,184,23137,Yes,No,,2.0,Not Applicable,25,2024-05-08 15:00:45.400,
441805,,14:25:00,2024-04-04 00:00:00,61,14062,Yes,No,,1.0,Not Applicable,25,2024-05-08 15:00:45.490,
442047,,12:53:00,2024-04-06 00:00:00,960,74329,Yes,No,,1.0,Not Applicable,23,2024-05-08 15:00:45.400,
442076,Duplicate,18:14:00,2024-04-06 00:00:00,925,36088,Yes,No,,2.0,Not Applicable,23,2024-05-08 15:00:45.400,
442125,,11:13:00,2024-04-07 00:00:00,61,29632,Yes,No,,1.0,Not Applicable,23,2024-05-08 15:00:45.510,
442173,,22:32:00,2024-04-07 00:00:00,903,63157,Yes,No,,1.0,Not Applicable,23,2024-05-08 15:00:45.410,
442326,,08:40:00,2024-04-09 00:00:00,961,21469,Yes,No,,1.0,Not Applicable,19,2024-05-08 15:00:45.430,
442348,,10:52:00,2024-04-09 00:00:00,67,27107,Yes,No,,1.0,Not Applicable,19,2024-05-08 15:00:45.430,
